iter	Passed	Remaining
0	196	294064
1	255	191460
2	311	155528
3	368	137661
4	426	127542
5	484	120570
6	542	115690
7	604	112757
8	661	109649
9	720	107300
10	777	105273
11	836	103748
12	897	102663
13	955	101449
14	1014	100430
15	1074	99648
16	1131	98668
17	1188	97818
18	1244	96986
19	1301	96318
20	1358	95709
21	1416	95142
22	1474	94663
23	1534	94355
24	1591	93887
25	1649	93525
26	1705	93062
27	1768	92979
28	1826	92652
29	1884	92356
30	1941	91997
31	1998	91671
32	2056	91403
33	2114	91191
34	2172	90928
35	2230	90725
36	2287	90449
37	2346	90272
38	2403	90020
39	2458	89727
40	2515	89500
41	2574	89363
42	2630	89130
43	2689	89002
44	2746	88798
45	2804	88650
46	2863	88527
47	2920	88350
48	2973	88059
49	3029	87853
50	3090	87799
51	3146	87621
52	3203	87463
53	3262	87359
54	3322	87286
55	3380	87156
56	3436	87004
57	3492	86842
58	3552	86756
59	3610	86646
60	3668	86543
61	3725	86408
62	3785	86352
63	3840	86166
64	3898	86064
65	3957	85975
66	4014	85871
67	4072	85767
68	4091	84844
69	4147	84723
70	4207	84686
71	4265	84597
72	4322	84505
73	4380	84422
74	4439	84348
75	4467	83708
76	4522	83578
77	4551	82977
78	4609	82909
79	4665	82818
80	4694	82240
81	4748	82110
82	4804	82018
83	4860	81941
84	4921	81923
85	4977	81840
86	5007	81327
87	5063	81247
88	5120	81181
89	5183	81201
90	5241	81151
91	5298	81094
92	5354	81015
93	5390	80629
94	5446	80543
95	5464	79920
96	5519	79829
97	5576	79784
98	5635	79751
99	5692	79689
100	5748	79623
101	5772	79114
102	5830	79077
103	5886	79016
104	5946	79007
105	6007	79001
106	6064	78951
107	6121	78894
108	6143	78406
109	6198	78329
110	6256	78294
111	6315	78261
112	6372	78214
113	6431	78194
114	6450	77680
115	6507	77638
116	6532	77218
117	6554	76766
118	6612	76736
119	6667	76681
120	6722	76619
121	6779	76571
122	6837	76545
123	6894	76512
124	6953	76491
125	7013	76478
126	7070	76440
127	7128	76407
128	7156	76056
129	7215	76037
130	7278	76062
